tempo_decorrido;70.0km;72.5km;75.0km;77.5km;80.0km;82.5km;85.0km;87.5km;90.0km;92.5km;95.0km;97.5km;100.0km;std_70.0km;std_72.5km;std_75.0km;std_77.5km;std_80.0km;std_82.5km;std_85.0km;std_87.5km;std_90.0km;std_92.5km;std_95.0km;std_97.5km;std_100.0km
0.4880555555555556;;;;;;;;;;;;;;;;;;;;;;;;;;
2.0708333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1075;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1438888888888887;;;;;;;;;;;;;;;;;;;;;;;;;;
10.88;;;;;;-43.997105;-31.079103;-22.975143;-20.12804;-15.606767;-10.727353;-17.13807;-33.82277;;;;;;21.821371175982502;13.586195199539862;10.489841276206233;8.989152073471669;8.273191645308357;9.218481979154703;10.81630297282764;10.301076157373073
10.915277777777778;;;;;;-27.25779;-65.48149;-54.430737;-41.852486;-30.748297;-20.558567;-19.028175;-33.350803;;;;;;16.248979352562426;14.39492410539215;12.651558797239176;11.349060754088859;10.489129611173656;11.128831475047145;13.036183490577294;15.431433504376708
14.153055555555556;;;;;;-27.705482;24.333336;-73.158775;-51.337067;-34.929527;-61.487045;-85.86327;-75.4316;;;;;;21.2976900155862;21.04559906488765;19.738155942235334;17.550370366462356;18.53861564410892;19.205357585840467;15.5445906990181;14.699315970479715
14.18888888888889;;;;;;-38.924152;40.185753;-92.65189;-50.979836;-42.485516;-101.80895;-134.15392;-123.89989;;;;;;22.810236737044182;25.25591316899866;25.014192771304852;21.68599501982789;24.053975762854673;25.028262824255304;18.774341533060486;16.937789997517385
23.07027777777778;;;;;;;;;;;;;;;;;;;;;;;;;;
23.105833333333333;;;;;-102.49924;-48.9356;0.90525275;36.764385;22.246284;0.049983025;-26.85128;-46.222923;-80.27034;;;;;24.80961204855892;23.694425504746892;20.282234097850267;16.341471781941795;13.9396456195988;14.86407682972609;17.222567172172678;20.394755208141135;24.45620493862447
23.141666666666666;;;;;-95.262764;-40.467346;9.56896;60.216225;53.059875;27.992113;-1.050664;-26.470493;-75.40699;;;;;25.996009309122815;23.984824368754506;19.478921941421707;16.31675641786688;15.118528036816283;15.326358341106344;17.73390425146138;19.317589135293254;21.306825197574604
